Title,Genre,Release Year,Rating
66. Don't Come Home,drama,2024,7.3
67. The Boys,drama,2019–,8.7
68. Squid Game,drama,2021–2025,8.0
69. Sweetpea,drama,2024–,7.2
70. The Resident,drama,2018–2023,7.8
71. Beauty in Black,drama,2024–,5.2
72. Queer,drama,2024,5.6
73. Attack on Titan,drama,2013–2023,9.1
74. Better Call Saul,drama,2015–2022,9.0
75. American Horror Story,drama,2011–,8.0
76. Tell Me Lies,drama,2022–,6.9
77. The Bear,drama,2022–,8.6
78. The Outrun,drama,2024,7.0
79. Suits,drama,2011–2019,8.4
80. Gilmore Girls,drama,2000–2007,8.2
81. Ted Lasso,drama,2020–,8.8
82. Superman & Lois,drama,2021–2024,7.7
83. True Detective,drama,2014–,8.9
84. It Ends with Us,drama,2024,6.5
85. Paris Has Fallen,drama,2024–,6.6
86. Yellowjackets,drama,2021–,7.8
87. The Perfect Couple,drama,2024,6.5
88. The Shawshank Redemption,drama,1994,9.3
89. Before,drama,2024–,6.4
90. Outlander,drama,2014–,8.4
91. Black Mirror,drama,2011–,8.7
92. Severance,drama,2022–,8.7
93. Let Go,drama,2024,6.9
94. Peaky Blinders,drama,2013–2022,8.7
95. House of the Dragon,drama,2022–,8.3
96. Fargo,drama,2014–2024,8.9
97. Shameless,drama,2011–2021,8.5
98. Blue Bloods,drama,2010–2024,7.7
99. Speak No Evil,drama,2024,6.9
100. Modern Family,drama,2009–2020,8.5
101. Gossip Girl,drama,2007–2012,7.5
102. Canary Black,drama,2024,5.3
103. The Last of Us,drama,2023–,8.7
104. A Real Pain,drama,2024,7.5
105. Fallout,drama,2024–,8.4
106. The Godfather,drama,1972,9.2
107. The Best Christmas Pageant Ever,drama,2024,7.4
108. Inside Out 2,drama,2024,7.6
109. Succession,drama,2018–2023,8.8
110. One Piece,drama,1999–,9.0
111. The Handmaid's Tale,drama,2017–2025,8.4
112. Shogun,drama,2024–2026,8.6
113. Law & Order,drama,1990–,7.8
114. Doctor Who,drama,2005–2022,8.5
115. Bones,drama,2005–2017,7.8
116. Fire Country,drama,2022–,7.1
117. How I Met Your Mother,drama,2005–2014,8.3
118. Wizards Beyond Waverly Place,drama,2024–,6.5
119. The Crown,drama,2016–2023,8.6
120. The Wire,drama,2002–2008,9.3
121. The Devil's Hour,drama,2022–,7.6
122. NCIS: Origins,drama,2024–,7.2
123. Chicago P.D.,drama,2014–,8.1
124. Midsomer Murders,drama,1997–,7.9
125. Castle,drama,2009–2016,8.1
126. Dune: Part Two,drama,2024,8.5
127. Shetland,drama,2013–,8.3
128. Landman,drama,2024–,8.2
129. Chicago Fire,drama,2012–,8.0
130. Vikings,drama,2013–2020,8.5
131. Ludwig,drama,2024–,8.2
132. Once Upon a Time... in Hollywood,drama,2019,7.6
133. Reacher,drama,2022–,8.0
134. Mad Men,drama,2007–2015,8.7
135. Predestination,drama,2014,7.4
136. Dark,drama,2017–2020,8.7
137. Megalopolis,drama,2024,4.9
138. V for Vendetta,drama,2005,8.1
139. S.W.A.T.,drama,2017–,7.2
140. Ellis,drama,2024–,7.8
141. The X-Files,drama,1993–2018,8.6
142. Buffy the Vampire Slayer,drama,1997–2003,8.3
143. Bad Monkey,drama,2024–,7.4
144. Pedro Páramo,drama,2024,6.3
145. The Law According to Lidia Poët,drama,2023–,7.5
146. Challengers,drama,2024,7.1
147. Nautilus,drama,2024–,6.6
148. The Infiltrator,drama,2016,7.0
149. Bad Sisters,drama,2022–,8.3
150. 1923,drama,2022–2025,8.3
151. Euphoria,drama,2019–,8.3
152. The White Lotus,drama,2021–2025,8.0
153. Oppenheimer,drama,2023,8.3
154. You,drama,2018–2024,7.7
155. The Mentalist,drama,2008–2015,8.2
156. The Dark Knight,drama,2008,9.0
157. Lucifer,drama,2016–2021,8.0
158. 1883,drama,2021–2022,8.7
159. Industry,drama,2020–,7.4
160. The Lord of the Rings: The Fellowship of the Ring,drama,2001,8.9
161. Cobra Kai,drama,2018–2025,8.4
162. Do Patti,drama,2024,6.7
163. Blitz,drama,2024,6.7
164. Kinds of Kindness,drama,2024,6.5
165. Sex and the City,drama,1998–2004,7.3
166. Poor Things,drama,2023,7.8
167. Kaos,drama,2024,7.4
168. Sons of Anarchy,drama,2008–2014,8.6
169. 3 Body Problem,drama,2024–,7.5
170. Amaran,drama,2024,8.5
171. Joker,drama,2019,8.4
172. ER,drama,1994–2009,7.9
173. The Blacklist,drama,2013–2023,7.9
174. The Brutalist,drama,2024,8.1
175. The Vampire Diaries,drama,2009–2017,7.7
176. Sablja,drama,2024,8.5
177. Love,drama,2015,6.1
178. 9-1-1: Lone Star,drama,2020–,7.3
179. The Witcher,drama,2019–,8.0
180. The West Wing,drama,1999–2006,8.9
181. The Lord of the Rings: The War of the Rohirrim,drama,2024,
182. The Fall Guy,drama,2024,6.9
183. My Brilliant Friend,drama,2018–2024,8.6
184. Wolf Hall,drama,2015,8.1
185. Presumed Innocent,drama,2024,7.7
186. A Discovery of Witches,drama,2018–2022,7.8
187. The Room Next Door,drama,2024,7.0
188. Like Water for Chocolate,drama,2024,7.7
189. Saturday Night,drama,2024,7.2
190. Meiyazhagan,drama,2024,8.4
191. Dark Matter,drama,2024–,7.7
192. Banshee,drama,2013–2016,8.4
193. SEAL Team,drama,2017–2024,7.8
194. Band of Brothers,drama,2001,9.4
195. A Man Called Otto,drama,2022,7.5
196. Pearl,drama,2022,7.0
197. Rebel Ridge,drama,2024,6.8
198. Sherlock,drama,2010–2017,9.1
199. IF,drama,2024,6.5
200. Chernobyl,drama,2019,9.3
201. Pulp Fiction,drama,1994,8.9
202. Person of Interest,drama,2011–2016,8.5
203. Vettaiyan,drama,2024,7.6
204. The Whale,drama,2022,7.6
205. Sex Education,drama,2019–2023,8.2
206. Evil,drama,2019–2024,7.8
207. American Horror Stories,drama,2021–,6.3
208. Brassic,drama,2019–,8.4
209. Somebody Somewhere,drama,2022–2024,8.1
210. Coco,drama,2017,8.4
211. Goodfellas,drama,1990,8.7
212. Inglourious Basterds,drama,2009,8.4
213. One Tree Hill,drama,2003–2012,7.8
214. The Wolf of Wall Street,drama,2013,8.2
215. Downton Abbey,drama,2010–2015,8.7
216. Monk,drama,2002–2009,8.1
217. FBI,drama,2018–,7.1
218. True Blood,drama,2008–2014,7.9
219. Titanic,drama,1997,7.9
220. The End,drama,2024,6.1
221. WandaVision,drama,2021,7.9
222. Desperate Housewives,drama,2004–2012,7.6
223. Fight Club,drama,1999,8.8
224. The Buckingham Murders,drama,2023,6.2
225. Freedom,drama,2024,5.8
226. Hillbilly Elegy,drama,2020,6.7
227. Smallville,drama,2001–2017,7.5
228. The Silence of the Lambs,drama,1991,8.6
229. The Umbrella Academy,drama,2019–2024,7.8
230. Hidden Figures,drama,2016,7.8
231. Bridgerton,drama,2020–,7.4
232. Mufasa: The Lion King,drama,2024,
233. Gotham,drama,2014–2019,7.8
234. Chicago Med,drama,2015–,7.6
235. American Psycho,drama,2000,7.6
236. For All Mankind,drama,2019–,8.1
237. A Quiet Place: Day One,drama,2024,6.3
238. Star Trek: The Next Generation,drama,1987–1994,8.7
239. Money Heist,drama,2017–2021,8.2
240. Murder in a Small Town,drama,2024–,6.7
241. Escape at Dannemora,drama,2018,7.9
242. Showtrial,drama,2021–2024,7.4
243. The Last Night at Tremore Beach,drama,2024,7.0
244. Rescue: HI-Surf,drama,2024–,6.3
245. Mayor of Kingstown,drama,2021–,8.2
246. Spartacus,drama,2010–2013,8.5
247. The Burning Girls,drama,2023,6.8
248. Death in Paradise,drama,2011–,7.8
249. Zodiac,drama,2007,7.7
250. Body Double,drama,1984,6.8
251. Labor Day,drama,2013,6.9
252. Eyes Wide Shut,drama,1999,7.5
253. Horizon: An American Saga - Chapter 1,drama,2024,6.7
254. Se7en,drama,1995,8.6
255. Dune: Part One,drama,2021,8.0
256. This Is Us,drama,2016–2022,8.7
257. Fifty Shades of Grey,drama,2015,4.2
258. The Americans,drama,2013–2018,8.4
259. Midsommar,drama,2019,7.1
260. White Collar,drama,2009–2014,8.2
261. Forrest Gump,drama,1994,8.8
262. Gangs of London,drama,2020–,8.0
263. Like a Dragon: Yakuza,drama,2024–,5.6
264. Twin Peaks,drama,1990–1991,8.8
265. Good Will Hunting,drama,1997,8.3
266. Poirot,drama,1989–2013,8.6
267. Found,drama,2023–,6.8
268. Emily in Paris,drama,2020–,6.8
269. Hereditary,drama,2018,7.3
270. Westworld,drama,2016–2022,8.5
271. Fear the Walking Dead,drama,2015–2023,6.8
272. Lonely Planet,drama,2024,5.7
273. The Flash,drama,2014–2023,7.5
274. All Ladies Do It,drama,1992,5.2
275. Ozark,drama,2017–2022,8.5
276. The Shining,drama,1980,8.4
277. Boardwalk Empire,drama,2010–2014,8.6
278. The 100,drama,2014–2020,7.5
279. White Bird,drama,2023,7.3
280. The Equalizer,drama,2021–,5.5
281. Parasite,drama,2019,8.5
282. The Bikeriders,drama,2023,6.7
283. Léon: The Professional,drama,1994,8.5
284. Scrubs,drama,2001–2010,8.4
285. Hannibal,drama,2013–2015,8.5
286. Re: Zero - Starting Life in Another World,drama,2016–,8.1
"287. Go Ahead, Brother",drama,2024–,7.1
288. The Haunting of Hill House,drama,2018,8.5
289. The Leftovers,drama,2014–2017,8.3
290. The Last Kingdom,drama,2015–2022,8.5
291. Eternal Sunshine of the Spotless Mind,drama,2004,8.3
292. Hellbound,drama,2021–2024,6.6
293. Foundation,drama,2021–,7.6
294. The Good Doctor,drama,2017–2024,8.0
295. Billions,drama,2016–2023,8.3
296. The Boy and the Heron,drama,2023,7.4
297. Saltburn,drama,2023,7.0
298. BoJack Horseman,drama,2014–2020,8.8
299. Twilight,drama,2008,5.3
300. Mr. Robot,drama,2015–2019,8.5
1. The Diplomat,thriller,2023–,8.0
2. From,thriller,2022–,7.8
3. Lioness,thriller,2023–,7.7
4. Venom: The Last Dance,thriller,2024,6.2
5. The Day of the Jackal,thriller,2024–,8.1
6. Disclaimer,thriller,2024,7.5
7. Heretic,thriller,2024,7.3
8. Stranger Things,thriller,2016–2025,8.7
9. The Lincoln Lawyer,thriller,2022–,7.8
10. Outer Banks,thriller,2020–,7.5
11. Time Cut,thriller,2024,5.0
12. Apocalypse Z: The Beginning of the End,thriller,2024,6.1
13. Don't Move,thriller,2024,5.8
14. Only Murders in the Building,thriller,2021–,8.1
15. Joker: Folie à Deux,thriller,2024,5.2
16. Trap,thriller,2024,5.9
17. Monsters,thriller,2022–,7.8
18. Smile 2,thriller,2024,7.1
19. Breaking Bad,thriller,2008–2013,9.5
20. Lost,thriller,2004–2010,8.3
21. Conclave,thriller,2024,7.6
22. Dexter,thriller,2006–2013,8.6
23. Slow Horses,thriller,2022–,8.2
24. Citadel: Honey Bunny,thriller,2024–,6.3
25. Juror #2,thriller,2024,7.3
26. The Old Man,thriller,2022–,7.6
27. Terrifier,thriller,2016,5.5
28. Teacup,thriller,2024–,6.4
29. The Walking Dead,thriller,2010–2022,8.1
30. Supernatural,thriller,2005–2020,8.4
31. A Different Man,thriller,2024,7.0
32. Alien: Romulus,thriller,2024,7.2
33. Law & Order: Special Victims Unit,thriller,1999–,8.1
34. NCIS,thriller,2003–,7.8
35. Longlegs,thriller,2024,6.7
36. Prison Break,thriller,2005–2017,8.3
37. Murder Mindfully,thriller,2024,7.5
38. The Batman,thriller,2022,7.8
39. The Count of Monte-Cristo,thriller,2024,7.8
40. 9-1-1,thriller,2018–,7.9
41. Caddo Lake,thriller,2024,6.9
42. Criminal Minds,thriller,2005–,8.1
43. Don't Come Home,thriller,2024,7.3
44. Civil War,thriller,2024,7.0
45. Squid Game,thriller,2021–2025,8.0
46. Twisters,thriller,2024,6.6
47. American Horror Story,thriller,2011–,8.0
48. Strange Darling,thriller,2023,7.1
49. X,thriller,2022,6.5
50. Blink Twice,thriller,2024,6.5
51. Smile,thriller,2022,6.5
52. True Detective,thriller,2014–,8.9
53. Yellowjackets,thriller,2021–,7.8
54. Before,thriller,2024–,6.4
55. Black Mirror,thriller,2011–,8.7
56. Severance,thriller,2022–,8.7
57. Fargo,thriller,2014–2024,8.9
58. Blue Bloods,thriller,2010–2024,7.7
59. Speak No Evil,thriller,2024,6.9
60. The Last of Us,thriller,2023–,8.7
61. Cellar Door,thriller,2024,5.2
62. Hysteria!,thriller,2024–,7.1
63. It's What's Inside,thriller,2024,6.6
64. Wolfs,thriller,2024,6.5
65. The Handmaid's Tale,thriller,2017–2025,8.4
66. Law & Order,thriller,1990–,7.8
67. Dandadan,thriller,2024–,8.7
68. The Wire,thriller,2002–2008,9.3
69. The Devil's Hour,thriller,2022–,7.6
70. Venom: Let There Be Carnage,thriller,2021,5.9
71. Chicago P.D.,thriller,2014–,8.1
72. Emilia Pérez,thriller,2024,7.1
73. Subservience,thriller,2024,5.2
74. Borderlands,thriller,2024,4.6
75. Reacher,thriller,2022–,8.0
76. Predestination,thriller,2014,7.4
77. Dark,thriller,2017–2020,8.7
78. V for Vendetta,thriller,2005,8.1
79. S.W.A.T.,thriller,2017–,7.2
80. The X-Files,thriller,1993–2018,8.6
81. Furiosa: A Mad Max Saga,thriller,2024,7.5
82. The Infiltrator,thriller,2016,7.0
83. Bad Sisters,thriller,2022–,8.3
84. You,thriller,2018–2024,7.7
85. The Mentalist,thriller,2008–2015,8.2
86. The Dark Knight,thriller,2008,9.0
87. Salem's Lot,thriller,2024,5.6
88. Demon Slayer: Kimetsu no Yaiba,thriller,2019–,8.6
89. Do Patti,thriller,2024,6.7
90. Sons of Anarchy,thriller,2008–2014,8.6
91. Idiocracy,thriller,2006,6.5
92. Absolution,thriller,2024,5.3
93. Joker,thriller,2019,8.4
94. The Blacklist,thriller,2013–2023,7.9
95. The Vampire Diaries,thriller,2009–2017,7.7
96. Sablja,thriller,2024,8.5
97. 9-1-1: Lone Star,thriller,2020–,7.3
98. Knock Knock,thriller,2015,4.9
99. Kraven the Hunter,thriller,2024,
100. Dark Matter,thriller,2024–,7.7
101. The Marlow Murder Club,thriller,2024–,7.2
102. Banshee,thriller,2013–2016,8.4
103. Pearl,thriller,2022,7.0
104. Rebel Ridge,thriller,2024,6.8
105. Sherlock,thriller,2010–2017,9.1
106. Chernobyl,thriller,2019,9.3
107. Person of Interest,thriller,2011–2016,8.5
108. Inception,thriller,2010,8.8
109. Evil,thriller,2019–2024,7.8
110. American Horror Stories,thriller,2021–,6.3
111. Scream,thriller,2022,6.3
112. Bad Boys: Ride or Die,thriller,2024,6.6
113. FBI,thriller,2018–,7.1
114. Monkey Man,thriller,2024,6.9
115. True Blood,thriller,2008–2014,7.9
116. Elevation,thriller,2024,5.8
117. Oddity,thriller,2024,6.7
118. The Buckingham Murders,thriller,2023,6.2
119. Freedom,thriller,2024,5.8
120. The Silence of the Lambs,thriller,1991,8.6
121. The Crow,thriller,2024,4.7
122. Babygirl,thriller,2024,6.0
123. Presence,thriller,2024,6.7
124. Gotham,thriller,2014–2019,7.8
125. Jurassic World Rebirth,thriller,2025,
126. Jujutsu Kaisen,thriller,2020–,8.5
127. A Quiet Place: Day One,thriller,2024,6.3
128. The Shadow Strays,thriller,2024,6.5
129. Money Heist,thriller,2017–2021,8.2
130. Escape at Dannemora,thriller,2018,7.9
131. Showtrial,thriller,2021–2024,7.4
132. The Last Night at Tremore Beach,thriller,2024,7.0
133. Mayor of Kingstown,thriller,2021–,8.2
134. Eden,thriller,2024,6.3
135. The Burning Girls,thriller,2023,6.8
136. Death in Paradise,thriller,2011–,7.8
137. Zodiac,thriller,2007,7.7
138. Body Double,thriller,1984,6.8
139. Labor Day,thriller,2013,6.9
140. Eyes Wide Shut,thriller,1999,7.5
141. Se7en,thriller,1995,8.6
142. Fifty Shades of Grey,thriller,2015,4.2
143. The Americans,thriller,2013–2018,8.4
144. Midsommar,thriller,2019,7.1
145. Like a Dragon: Yakuza,thriller,2024–,5.6
146. Scream VI,thriller,2023,6.4
147. Twin Peaks,thriller,1990–1991,8.8
148. Poirot,thriller,1989–2013,8.6
149. No Time to Die,thriller,2021,7.3
150. Hereditary,thriller,2018,7.3
151. Fear the Walking Dead,thriller,2015–2023,6.8
152. All Hallows' Eve,thriller,2013,5.2
153. Ozark,thriller,2017–2022,8.5
154. Infinite,thriller,2021,5.5
155. Halloween,thriller,1978,7.7
156. The Equalizer,thriller,2021–,5.5
157. Parasite,thriller,2019,8.5
158. Léon: The Professional,thriller,1994,8.5
159. Hannibal,thriller,2013–2015,8.5
160. Re: Zero - Starting Life in Another World,thriller,2016–,8.1
"161. Go Ahead, Brother",thriller,2024–,7.1
162. 28 Years Later,thriller,2025,
163. The Haunting of Hill House,thriller,2018,8.5
164. The Leftovers,thriller,2014–2017,8.3
165. Hellbound,thriller,2021–2024,6.6
166. Saltburn,thriller,2023,7.0
167. Get Out,thriller,2017,7.8
168. Mr. Robot,thriller,2015–2019,8.5
169. Fringe,thriller,2008–2013,8.4
170. Revenge,thriller,2017,6.4
171. CSI: Crime Scene Investigation,thriller,2000–2015,7.7
172. Daredevil,thriller,2015–2018,8.6
173. Mindhunter,thriller,2017–2019,8.6
174. The Witch,thriller,2015,7.0
175. Cross,thriller,2024–,7.2
176. Jurassic Park,thriller,1993,8.2
177. John Wick: Chapter 4,thriller,2023,7.6
178. Love Lies Bleeding,thriller,2024,6.7
179. The Beekeeper,thriller,2024,6.3
180. The Night Agent,thriller,2023–,7.5
181. Aftermath,thriller,2024,5.0
182. The Prestige,thriller,2006,8.5
183. Kingdom of the Planet of the Apes,thriller,2024,6.9
184. The Day of the Jackal,thriller,1973,7.8
185. Dark Winds,thriller,2022–,7.7
186. Sting,thriller,2024,5.7
187. MadS,thriller,2024,6.5
188. Knives Out,thriller,2019,7.9
189. The Walking Dead: The Ones Who Live,thriller,2024,7.8
190. Abigail,thriller,2024,6.6
191. The Departed,thriller,2006,8.5
192. John Wick,thriller,2014,7.4
193. The Edge of Sleep,thriller,2024–,7.4
194. Levels,thriller,2024,5.0
195. Black Cab,thriller,2024,4.1
196. Citadel,thriller,2023–,6.2
197. Wind River,thriller,2017,7.7
198. The Union,thriller,2024,5.4
199. Homeland,thriller,2011–2020,8.3
200. The Silent Hour,thriller,2024,6.0
201. Come and See,thriller,1985,8.3
202. Chucky,thriller,2021–2024,7.3
203. The Dark Knight Rises,thriller,2012,8.4
204. Doctor Sleep,thriller,2019,7.3
205. Star Trek: Deep Space Nine,thriller,1993–1999,8.1
206. Leave the World Behind,thriller,2023,6.4
207. 24,thriller,2001–2010,8.4
208. Deep Water,thriller,2022,5.5
209. Thanksgiving,thriller,2023,6.2
210. Bullet Train,thriller,2022,7.3
211. Prisoners,thriller,2013,8.2
212. Shutter Island,thriller,2010,8.2
213. Citadel: Diana,thriller,2024–,6.0
214. The Sixth Sense,thriller,1999,8.2
215. Narcos,thriller,2015–2017,8.7
216. The Watchers,thriller,2024,5.7
217. Star Trek: Voyager,thriller,1995–2001,7.9
218. Blade Runner 2049,thriller,2017,8.0
219. The Punisher,thriller,2017–2019,8.4
220. Madame Web,thriller,2024,4.0
221. Columbo,thriller,1971–1978,8.3
222. Andor,thriller,2022–,8.4
223. The Conjuring,thriller,2013,7.5
224. The Terror,thriller,2018–2025,7.9
225. Mithya,thriller,2022–,7.9
226. Invincible,thriller,2021–,8.7
227. Fall,thriller,2022,6.4
228. Nope,thriller,2022,6.8
229. FBI: International,thriller,2021–,6.6
230. The Hunger Games,thriller,2012,7.2
231. Justified,thriller,2010–2015,8.6
232. The Cabin in the Woods,thriller,2011,7.0
233. Call of Duty: Black Ops 6,thriller,2024,7.7
234. Don't Worry Darling,thriller,2022,6.3
235. Take Shelter,thriller,2011,7.3
236. Tom Clancy's Jack Ryan,thriller,2018–2023,8.0
237. Killing Eve,thriller,2018–2022,8.1
238. True Romance,thriller,1993,7.9
239. Sinister,thriller,2012,6.8
240. Line of Duty,thriller,2012–2021,8.7
241. Never Let Go,thriller,2024,5.5
242. No Country for Old Men,thriller,2007,8.2
243. I Know What You Did Last Summer,thriller,2025,
244. Mad Max: Fury Road,thriller,2015,8.1
245. Devara Part 1,thriller,2024,6.2
246. The Walking Dead: Dead City,thriller,2023–,7.1
247. Barbarian,thriller,2022,7.0
248. The Platform 2,thriller,2024,5.0
249. Van Helsing,thriller,2004,6.1
250. Daredevil: Born Again,thriller,2025–,
251. The Crow,thriller,1994,7.5
252. Saw,thriller,2004,7.6
253. The Voyeurs,thriller,2021,6.1
254. The Twilight Zone,thriller,1959–1964,9.0
255. Killer Heat,thriller,2024,5.6
256. Ready or Not,thriller,2019,6.9
257. Road House,thriller,2024,6.2
258. Nocturnal Animals,thriller,2016,7.4
259. Twister,thriller,1996,6.5
260. FBI: Most Wanted,thriller,2020–,6.9
261. Casino Royale,thriller,2006,8.0
"262. Love, Death & Robots",thriller,2019–,8.4
263. Halloween,thriller,2018,6.5
264. The Menu,thriller,2022,7.2
265. Oldboy,thriller,2003,8.3
266. Tenet,thriller,2020,7.3
267. Aliens,thriller,1986,8.4
268. Glass Onion,thriller,2022,7.1
269. Alita: Battle Angel,thriller,2019,7.3
270. Outside,thriller,2024,5.1
271. Argylle,thriller,2024,5.6
272. It,thriller,1990,6.8
273. Apartment 7A,thriller,2024,5.8
274. Lucky Baskhar,thriller,2024,8.4
275. Teen Wolf,thriller,2011–2017,7.7
276. Kingsman: The Secret Service,thriller,2014,7.7
277. The Handmaiden,thriller,2016,8.1
278. Five Nights at Freddy's,thriller,2023,5.4
279. Mission: Impossible - Dead Reckoning Part One,thriller,2023,7.7
280. Talk to Me,thriller,2022,7.1
281. The Lighthouse,thriller,2019,7.4
282. Scandal,thriller,2012–2018,7.7
283. The Hunger Games: The Ballad of Songbirds & Snakes,thriller,2023,6.7
284. Memento,thriller,2000,8.4
285. The Predator,thriller,2018,5.3
286. The Platform,thriller,2019,7.0
287. Die Hard,thriller,1988,8.2
288. The Acolyte,thriller,2024,4.2
289. Donnie Darko,thriller,2001,8.0
290. Gerald's Game,thriller,2017,6.5
291. Animal,thriller,2023,6.1
292. Gangnam B-Side,thriller,2024–,7.5
293. Gone Girl,thriller,2014,8.1
294. Designated Survivor,thriller,2016–2019,7.4
295. The Usual Suspects,thriller,1995,8.5
296. The Agency,thriller,2024–,
297. The Count of Monte Cristo,thriller,2002,7.7
298. The Killing of a Sacred Deer,thriller,2017,7.0
299. Black Bird,thriller,2022,8.1
300. The Chelsea Detective,thriller,2022–,7.4
